FECHA; BCOLO CB Equity ; ELCONDOR CB Equity ; CONCONC CB Equity ; PFBCOLO CB Equity ; GRUPOSUR CB Equity ; PFGRUPSU CB Equity ; ISA CB Equity ; EXITO CB Equity ; NUTRESA CB Equity ; GRUPOARG CB Equity ; CEMARGOS CB Equity ; PFGRUPOA CB Equity ; PFCEMARG CB Equity ; ETB CB Equity ; PFAVH CB Equity ; CELSIA CB Equity ; BVC CB Equity ; ECOPETL CB Equity ; BOGOTA CB Equity ; GEB CB Equity ; PFDAVVND CB Equity ; CORFICOL CB Equity ; PFAVAL CB Equity ; PFCORCOL CB Equity ; PFCARPAK CB Equity ; MINEROS CB Equity ; CNEC CB Equity ; FABRI CB Equity ; AVAL CB Equity ; ENKA CB Equity ; VALSIME CB Equity ; CLH CB Equity 
3-may-21; $ 27.400 ; $ 930 ; $ 373 ; $ 27.500,00 ; $ 18.040,00 ; $ 16.300,00 ; $ 20.500,00 ; $ 11.700,00 ; $ 20.600,00 ; $ 9.930,00 ; $ 5.010,00 ; $ 8.050,00 ; $ 3.790,00 ; $ 210,00 ; $ 128,80 ; $ 4.150,00 ; $ 11.690,00 ; $ 2.219,00 ; $ 77.900,00 ; $ 2.510,00 ; $ 28.500,00 ; $ 31.650,00 ; $ 1.065,00 ; $ 26.840,00 ; $ 5.326,13 ; $ 4.150,00 ; $ 10.650,00 ; $ 4,50 ; $ 1.160,00 ; $ 14,90 ; $ 4.761,11 ; $ 3.830,00 
4-may-21; $ 27.100 ; $ 940 ; $ 350 ; $ 27.500,00 ; $ 18.220,00 ; $ 16.700,00 ; $ 20.400,00 ; $ 11.480,00 ; $ 21.100,00 ; $ 10.020,00 ; $ 5.110,00 ; $ 8.200,00 ; $ 3.790,00 ; $ 210,00 ; $ 132,00 ; $ 4.197,00 ; $ 11.550,00 ; $ 2.225,00 ; $ 77.010,00 ; $ 2.509,00 ; $ 28.190,00 ; $ 31.800,00 ; $ 1.030,00 ; $ 26.430,00 ; $ 5.326,13 ; $ 4.144,00 ; $ 10.690,00 ; $ 4,15 ; $ 1.160,00 ; $ 14,95 ; $ 4.761,11 ; $ 3.830,00 
5-may-21; $ 27.660 ; $ 940 ; $ 379 ; $ 28.000,00 ; $ 19.100,00 ; $ 16.900,00 ; $ 20.900,00 ; $ 11.420,00 ; $ 21.300,00 ; $ 10.190,00 ; $ 5.260,00 ; $ 8.200,00 ; $ 3.825,00 ; $ 210,00 ; $ 134,00 ; $ 4.212,00 ; $ 11.500,00 ; $ 2.288,00 ; $ 76.110,00 ; $ 2.523,00 ; $ 28.780,00 ; $ 32.660,00 ; $ 1.056,00 ; $ 26.430,00 ; $ 5.326,13 ; $ 4.140,00 ; $ 10.690,00 ; $ 4,15 ; $ 1.160,00 ; $ 14,72 ; $ 4.761,11 ; $ 3.830,00 
6-may-21; $ 28.520 ; $ 890 ; $ 379 ; $ 28.680,00 ; $ 19.900,00 ; $ 17.200,00 ; $ 21.160,00 ; $ 11.060,00 ; $ 21.740,00 ; $ 10.600,00 ; $ 5.350,00 ; $ 8.700,00 ; $ 3.869,00 ; $ 210,00 ; $ 134,00 ; $ 4.394,00 ; $ 11.500,00 ; $ 2.291,00 ; $ 76.000,00 ; $ 2.604,00 ; $ 30.190,00 ; $ 32.800,00 ; $ 1.079,00 ; $ 27.140,00 ; $ 5.326,13 ; $ 4.249,00 ; $ 10.900,00 ; $ 4,39 ; $ 1.160,00 ; $ 14,65 ; $ 4.761,11 ; $ 3.890,00 
7-may-21; $ 28.940 ; $ 890 ; $ 390 ; $ 28.930,00 ; $ 20.700,00 ; $ 17.850,00 ; $ 21.240,00 ; $ 12.580,00 ; $ 22.500,00 ; $ 11.300,00 ; $ 5.500,00 ; $ 9.095,00 ; $ 3.969,00 ; $ 212,00 ; $ 128,00 ; $ 4.360,00 ; $ 11.520,00 ; $ 2.288,00 ; $ 75.000,00 ; $ 2.583,00 ; $ 30.780,00 ; $ 32.970,00 ; $ 1.090,00 ; $ 26.980,00 ; $ 5.326,13 ; $ 4.269,00 ; $ 10.600,00 ; $ 4,24 ; $ 1.160,00 ; $ 14,97 ; $ 4.761,11 ; $ 3.760,00 
10-may-21; $ 29.520 ; $ 950 ; $ 388 ; $ 29.870,00 ; $ 21.000,00 ; $ 18.320,00 ; $ 22.340,00 ; $ 13.100,00 ; $ 22.830,00 ; $ 11.800,00 ; $ 5.500,00 ; $ 9.200,00 ; $ 4.000,00 ; $ 218,00 ; $ 128,00 ; $ 4.410,00 ; $ 11.500,00 ; $ 2.357,00 ; $ 75.000,00 ; $ 2.590,00 ; $ 31.780,00 ; $ 33.080,00 ; $ 1.120,00 ; $ 27.000,00 ; $ 5.326,13 ; $ 4.324,00 ; $ 10.580,00 ; $ 4,24 ; $ 1.160,00 ; $ 14,97 ; $ 4.761,11 ; $ 3.820,00 
11-may-21; $ 28.940 ; $ 951 ; $ 388 ; $ 28.830,00 ; $ 21.100,00 ; $ 18.300,00 ; $ 22.000,00 ; $ 12.580,00 ; $ 22.680,00 ; $ 11.400,00 ; $ 5.420,00 ; $ 9.185,00 ; $ 3.998,00 ; $ 211,90 ; $ 128,00 ; $ 4.489,00 ; $ 11.500,00 ; $ 2.315,00 ; $ 74.500,00 ; $ 2.592,00 ; $ 31.150,00 ; $ 31.450,00 ; $ 1.109,00 ; $ 25.500,00 ; $ 5.326,13 ; $ 4.249,00 ; $ 10.540,00 ; $ 4,24 ; $ 1.160,00 ; $ 14,97 ; $ 4.761,11 ; $ 3.820,00 
12-may-21; $ 28.660 ; $ 980 ; $ 410 ; $ 28.620,00 ; $ 20.410,00 ; $ 18.020,00 ; $ 21.710,00 ; $ 12.490,00 ; $ 22.400,00 ; $ 11.160,00 ; $ 5.455,00 ; $ 9.030,00 ; $ 4.070,00 ; $ 211,90 ; $ 128,00 ; $ 4.350,00 ; $ 11.500,00 ; $ 2.370,00 ; $ 74.980,00 ; $ 2.607,00 ; $ 30.830,00 ; $ 31.090,00 ; $ 1.100,00 ; $ 25.100,00 ; $ 5.326,13 ; $ 4.300,00 ; $ 10.580,00 ; $ 4,24 ; $ 1.160,00 ; $ 14,97 ; $ 4.761,11 ; $ 3.805,00 
13-may-21; $ 27.910 ; $ 985 ; $ 410 ; $ 28.100,00 ; $ 19.600,00 ; $ 17.840,00 ; $ 20.630,00 ; $ 12.520,00 ; $ 22.260,00 ; $ 11.050,00 ; $ 5.345,00 ; $ 9.030,00 ; $ 3.950,00 ; $ 215,00 ; $ 128,00 ; $ 4.404,00 ; $ 11.500,00 ; $ 2.301,00 ; $ 74.650,00 ; $ 2.610,00 ; $ 30.800,00 ; $ 31.000,00 ; $ 1.102,00 ; $ 25.070,00 ; $ 5.326,13 ; $ 4.275,00 ; $ 10.400,00 ; $ 4,24 ; $ 1.160,00 ; $ 15,01 ; $ 4.761,11 ; $ 3.805,00 
14-may-21; $ 28.960 ; $ 1.000 ; $ 415 ; $ 29.300,00 ; $ 19.780,00 ; $ 18.000,00 ; $ 21.500,00 ; $ 12.300,00 ; $ 22.700,00 ; $ 11.280,00 ; $ 5.405,00 ; $ 8.920,00 ; $ 3.922,00 ; $ 214,90 ; $ 128,00 ; $ 4.400,00 ; $ 11.700,00 ; $ 2.387,00 ; $ 74.500,00 ; $ 2.640,00 ; $ 31.200,00 ; $ 30.700,00 ; $ 1.115,00 ; $ 25.600,00 ; $ 5.326,13 ; $ 4.315,00 ; $ 10.130,00 ; $ 4,24 ; $ 1.110,00 ; $ 16,11 ; $ 4.761,11 ; $ 3.860,00 
