FECHA;BCOLO CB Equity;ELCONDOR CB Equity;CONCONC CB Equity;PFBCOLO CB Equity;GRUPOSUR CB Equity;PFGRUPSU CB Equity;ISA CB Equity;EXITO CB Equity;NUTRESA CB Equity;GRUPOARG CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;PFCEMARG CB Equity;ETB CB Equity;PFAVH CB Equity;CELSIA CB Equity;BVC CB Equity;ECOPETL CB Equity;BOGOTA CB Equity;GEB CB Equity;PFDAVVND CB Equity;CORFICOL CB Equity;PFAVAL CB Equity;PFCORCOL CB Equity;PFCARPAK CB Equity;MINEROS CB Equity;CNEC CB Equity;FABRI CB Equity;AVAL CB Equity;ENKA CB Equity;VALSIME CB Equity;CLH CB Equity
3/05/2021;27400,00;930,00;373,00;27500,00;18040,00;16300,00;20500,00;11700,00;20600,00;9930,00;5010,00;8050,00;3790,00;210,00;128,80;4150,00;11690,00;2219,00;77900,00;2510,00;28500,00;31650,00;1065,00;26840,00;5326,13;4150,00;10650,00;4,50;1160,00;14,90;4761,11;3830,00
4/05/2021;27100,00;940,00;350,00;27500,00;18220,00;16700,00;20400,00;11480,00;21100,00;10020,00;5110,00;8200,00;3790,00;210,00;132,00;4197,00;11550,00;2225,00;77010,00;2509,00;28190,00;31800,00;1030,00;26430,00;5326,13;4144,00;10690,00;4,15;1160,00;14,95;4761,11;3830,00
5/05/2021;27660,00;940,00;379,00;28000,00;19100,00;16900,00;20900,00;11420,00;21300,00;10190,00;5260,00;8200,00;3825,00;210,00;134,00;4212,00;11500,00;2288,00;76110,00;2523,00;28780,00;32660,00;1056,00;26430,00;5326,13;4140,00;10690,00;4,15;1160,00;14,72;4761,11;3830,00
6/05/2021;28520,00;890,00;379,00;28680,00;19900,00;17200,00;21160,00;11060,00;21740,00;10600,00;5350,00;8700,00;3869,00;210,00;134,00;4394,00;11500,00;2291,00;76000,00;2604,00;30190,00;32800,00;1079,00;27140,00;5326,13;4249,00;10900,00;4,39;1160,00;14,65;4761,11;3890,00
7/05/2021;28940,00;890,00;390,00;28930,00;20700,00;17850,00;21240,00;12580,00;22500,00;11300,00;5500,00;9095,00;3969,00;212,00;128,00;4360,00;11520,00;2288,00;75000,00;2583,00;30780,00;32970,00;1090,00;26980,00;5326,13;4269,00;10600,00;4,24;1160,00;14,97;4761,11;3760,00
10/05/2021;29520,00;950,00;388,00;29870,00;21000,00;18320,00;22340,00;13100,00;22830,00;11800,00;5500,00;9200,00;4000,00;218,00;128,00;4410,00;11500,00;2357,00;75000,00;2590,00;31780,00;33080,00;1120,00;27000,00;5326,13;4324,00;10580,00;4,24;1160,00;14,97;4761,11;3820,00
11/05/2021;28940,00;951,00;388,00;28830,00;21100,00;18300,00;22000,00;12580,00;22680,00;11400,00;5420,00;9185,00;3998,00;211,90;128,00;4489,00;11500,00;2315,00;74500,00;2592,00;31150,00;31450,00;1109,00;25500,00;5326,13;4249,00;10540,00;4,24;1160,00;14,97;4761,11;3820,00
12/05/2021;28660,00;980,00;409,90;28620,00;20410,00;18020,00;21710,00;12490,00;22400,00;11160,00;5455,00;9030,00;4070,00;211,90;128,00;4350,00;11500,00;2370,00;74980,00;2607,00;30830,00;31090,00;1100,00;25100,00;5326,13;4300,00;10580,00;4,24;1160,00;14,97;4761,11;3805,00
13/05/2021;27910,00;985,00;410,00;28100,00;19600,00;17840,00;20630,00;12520,00;22260,00;11050,00;5345,00;9030,00;3950,00;215,00;128,00;4404,00;11500,00;2301,00;74650,00;2610,00;30800,00;31000,00;1102,00;25070,00;5326,13;4275,00;10400,00;4,24;1160,00;15,01;4761,11;3805,00
14/05/2021;28960,00;1000,00;414,90;29300,00;19780,00;18000,00;21500,00;12300,00;22700,00;11280,00;5405,00;8920,00;3922,00;214,90;128,00;4400,00;11700,00;2387,00;74500,00;2640,00;31200,00;30700,00;1115,00;25600,00;5326,13;4315,00;10130,00;4,24;1110,00;16,11;4761,11;3860,00
17/05/2021;28960,00;1000,00;414,90;29300,00;19780,00;18000,00;21500,00;12300,00;22700,00;11280,00;5405,00;8920,00;3922,00;214,90;128,00;4400,00;11700,00;2387,00;74500,00;2640,00;31200,00;30700,00;1115,00;25600,00;5326,13;4315,00;10130,00;4,24;1110,00;16,11;4761,11;3860,00
18/05/2021;28400,00;1000,00;395,00;28400,00;19610,00;17700,00;20820,00;12300,00;22400,00;11000,00;5390,00;8920,00;3922,00;214,90;128,00;4370,00;11750,00;2355,00;74300,00;2620,00;30100,00;30600,00;1100,00;25600,00;5326,13;4280,00;9940,00;4,93;1110,00;15,71;4761,11;3750,00
19/05/2021;28250,00;1000,00;394,50;28280,00;19500,00;17820,00;21100,00;11860,00;22260,00;10700,00;5350,00;8980,00;3984,00;214,90;128,00;4450,00;11720,00;2347,00;73660,00;2623,00;29980,00;30270,00;1089,00;25500,00;5326,13;4280,00;10160,00;4,80;1030,00;15,71;4761,11;3765,00
20/05/2021;27880,00;1000,00;380,00;28120,00;19980,00;17700,00;21000,00;11850,00;22400,00;10980,00;5330,00;8600,00;3852,00;209,90;128,00;4360,00;11600,00;2314,00;72500,00;2520,00;29990,00;29500,00;1090,00;25500,00;5326,13;4280,00;9990,00;4,80;1030,00;15,71;4761,11;3760,00
21/05/2021;27710,00;1000,00;380,00;27700,00;19830,00;17730,00;20990,00;11850,00;21780,00;10780,00;5215,00;8620,00;3834,00;209,90;128,00;4363,00;11690,00;2285,00;70400,00;2504,00;30090,00;29460,00;1105,00;25500,00;5326,13;4200,00;10100,00;5,09;1035,00;15,60;4761,11;3750,00
24/05/2021;27400,00;1000,00;380,00;27600,00;19100,00;17340,00;20660,00;11790,00;21400,00;10380,00;5095,00;8620,00;3742,00;202,00;136,00;4230,00;11650,00;2294,00;68500,00;2470,00;29770,00;29100,00;1088,00;24600,00;5326,13;4200,00;10160,00;5,09;1080,00;15,27;4761,11;3700,00
25/05/2021;27490,00;1000,00;385,00;27300,00;19010,00;17040,00;20200,00;11500,00;20900,00;9915,00;5040,00;8280,00;3660,00;200,00;136,00;4180,00;11650,00;2235,00;68480,00;2341,00;29630,00;28100,00;1080,00;24600,00;5326,13;4200,00;10100,00;5,09;1080,00;15,02;4626,32;3700,00
26/05/2021;27200,00;1000,00;385,00;27390,00;18700,00;16900,00;19600,00;11490,00;20880,00;9910,00;5090,00;8000,00;3659,00;200,00;136,00;4070,00;11630,00;2220,00;67000,00;2340,00;28600,00;27980,00;1051,00;24590,00;5326,13;4146,00;10140,00;5,09;1072,00;15,12;4626,32;3800,00
27/05/2021;27500,00;1000,00;370,00;28200,00;19150,00;16880,00;20500,00;11680,00;20500,00;9000,00;5000,00;7200,00;3294,00;208,00;150,00;3765,00;11500,00;2220,00;67500,00;2165,00;28100,00;28210,00;1053,00;24000,00;5326,13;3836,00;10280,00;5,09;1022,00;15,24;4626,32;3800,00
28/05/2021;27300,00;1000,00;375,00;27940,00;20350,00;17450,00;20650,00;12000,00;21020,00;10270,00;5080,00;7990,00;3560,00;208,00;150,00;4176,00;11490,00;2211,00;69760,00;2300,00;28900,00;28580,00;1066,00;23060,00;5326,13;3966,00;10060,00;5,09;1050,00;15,34;4626,32;3700,00
31/05/2021;27000,00;1000,00;380,00;27600,00;20020,00;17600,00;20020,00;12000,00;21600,00;10100,00;5070,00;8000,00;3691,00;208,00;150,00;4176,00;11400,00;2190,00;70000,00;2329,00;29000,00;28230,00;1078,00;23060,00;5326,13;4086,00;10270,00;5,09;1040,00;15,32;4626,32;3700,00
1/06/2021;27710,00;1000,00;390,00;28190,00;20300,00;18000,00;20510,00;12000,00;21960,00;10220,00;5100,00;8160,00;3691,00;210,90;150,00;4245,00;11500,00;2276,00;71340,00;2350,00;29700,00;28280,00;1075,00;23000,00;5326,13;4084,00;10060,00;5,09;1070,00;15,32;4626,32;3790,00
2/06/2021;27800,00;1000,00;390,00;28160,00;20300,00;17810,00;22670,00;11980,00;21600,00;10250,00;5280,00;8200,00;3757,00;213,00;150,00;4190,00;11420,00;2340,00;71860,00;2486,00;29370,00;28230,00;1095,00;22710,00;5326,13;4000,00;10190,00;5,09;1079,00;15,32;4626,32;3790,00
3/06/2021;28340,00;1000,00;400,00;28810,00;20180,00;17840,00;22700,00;12160,00;21800,00;10340,00;5260,00;8200,00;3700,00;213,00;150,00;4197,00;11420,00;2360,00;71400,00;2495,00;29990,00;28560,00;1109,00;22710,00;5326,13;4000,00;10200,00;5,09;1079,00;15,32;4626,32;3790,00
4/06/2021;27800,00;1000,00;400,00;28200,00;20050,00;17490,00;22700,00;12050,00;21690,00;10220,00;5185,00;8100,00;3700,00;213,00;170,00;4250,00;11410,00;2355,00;71190,00;2421,00;30390,00;28560,00;1090,00;22710,00;5326,13;4020,00;10100,00;5,09;1061,00;15,11;4626,32;3790,00
7/06/2021;27800,00;1000,00;400,00;28200,00;20050,00;17490,00;22700,00;12050,00;21690,00;10220,00;5185,00;8100,00;3700,00;213,00;170,00;4250,00;11410,00;2355,00;71190,00;2421,00;30390,00;28560,00;1090,00;22710,00;5326,13;4020,00;10100,00;5,09;1061,00;15,11;4626,32;3790,00
8/06/2021;28190,00;991,00;399,00;28300,00;20180,00;17640,00;23290,00;12050,00;22400,00;10320,00;5250,00;8160,00;3662,00;213,00;251,50;4299,00;11580,00;2396,00;71880,00;2433,00;30390,00;28500,00;1079,00;22980,00;5326,13;4025,00;10220,00;5,09;1061,00;15,11;4626,32;3790,00
9/06/2021;28340,00;988,00;400,00;28260,00;19880,00;17860,00;23360,00;11950,00;21820,00;10200,00;5210,00;8375,00;3658,00;212,80;295,00;4300,00;11440,00;2370,00;72000,00;2413,00;30800,00;29000,00;1066,00;23100,00;5326,13;4139,00;10220,00;4,90;1050,00;15,11;4626,32;3800,00
10/06/2021;28100,00;988,00;400,00;28300,00;19740,00;17920,00;23560,00;11950,00;22180,00;10380,00;5250,00;8375,00;3660,00;203,00;270,30;4303,00;11300,00;2385,00;72900,00;2400,00;31270,00;29570,00;1071,00;23500,00;5326,13;4154,00;10340,00;4,90;1050,00;15,11;4626,32;3800,00
11/06/2021;28320,00;988,00;412,00;28550,00;19740,00;17880,00;23300,00;11790,00;22400,00;10290,00;5155,00;8520,00;3660,00;206,00;270,30;4302,00;11400,00;2391,00;70520,00;2380,00;30800,00;30200,00;1083,00;24100,00;5326,13;4100,00;10450,00;5,07;1050,00;15,09;4626,32;3800,00
14/06/2021;28320,00;988,00;412,00;28550,00;19740,00;17880,00;23300,00;11790,00;22400,00;10290,00;5155,00;8520,00;3660,00;206,00;270,30;4302,00;11400,00;2391,00;70520,00;2380,00;30800,00;30200,00;1083,00;24100,00;5326,13;4100,00;10450,00;5,07;1050,00;15,09;4626,32;3800,00
