FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
3/05/2021	27400	930	373	27500	18040	16300	20500	11700	20600	9930	5010	8050	3790	210	128.8	4150	11690	2219	77900	2510	28500	31650	1065	26840	5326.13	4150	10650	4.5	1160	14.9	4761.11	3830
4/05/2021	27100	940	350	27500	18220	16700	20400	11480	21100	10020	5110	8200	3790	210	132	4197	11550	2225	77010	2509	28190	31800	1030	26430	5326.13	4144	10690	4.15	1160	14.95	4761.11	3830
5/05/2021	27660	940	379	28000	19100	16900	20900	11420	21300	10190	5260	8200	3825	210	134	4212	11500	2288	76110	2523	28780	32660	1056	26430	5326.13	4140	10690	4.15	1160	14.72	4761.11	3830
6/05/2021	28520	890	379	28680	19900	17200	21160	11060	21740	10600	5350	8700	3869	210	134	4394	11500	2291	76000	2604	30190	32800	1079	27140	5326.13	4249	10900	4.39	1160	14.65	4761.11	3890
7/05/2021	28940	890	390	28930	20700	17850	21240	12580	22500	11300	5500	9095	3969	212	128	4360	11520	2288	75000	2583	30780	32970	1090	26980	5326.13	4269	10600	4.24	1160	14.97	4761.11	3760
10/05/2021	29520	950	388	29870	21000	18320	22340	13100	22830	11800	5500	9200	4000	218	128	4410	11500	2357	75000	2590	31780	33080	1120	27000	5326.13	4324	10580	4.24	1160	14.97	4761.11	3820
11/05/2021	28940	951	388	28830	21100	18300	22000	12580	22680	11400	5420	9185	3998	211.9	128	4489	11500	2315	74500	2592	31150	31450	1109	25500	5326.13	4249	10540	4.24	1160	14.97	4761.11	3820
12/05/2021	28660	980	409.9	28620	20410	18020	21710	12490	22400	11160	5455	9030	4070	211.9	128	4350	11500	2370	74980	2607	30830	31090	1100	25100	5326.13	4300	10580	4.24	1160	14.97	4761.11	3805
13/05/2021	27910	985	410	28100	19600	17840	20630	12520	22260	11050	5345	9030	3950	215	128	4404	11500	2301	74650	2610	30800	31000	1102	25070	5326.13	4275	10400	4.24	1160	15.01	4761.11	3805
14/05/2021	28960	1000	414.9	29300	19780	18000	21500	12300	22700	11280	5405	8920	3922	214.9	128	4400	11700	2387	74500	2640	31200	30700	1115	25600	5326.13	4315	10130	4.24	1110	16.11	4761.11	3860
