FECHA;TRM
3-may-21; $ 3.816,65 
4-may-21; $ 3.831,35 
5-may-21; $ 3.846,28 
6-may-21; $ 3.800,33 
7-may-21; $ 3.765,33 
10-may-21; $ 3.714,94 
11-may-21; $ 3.703,20 
12-may-21; $ 3.734,09 
13-may-21; $ 3.728,09 
14-may-21; $ 3.682,84 
17-may-21; $ 3.682,84 
18-may-21; $ 3.655,74 
19-may-21; $ 3.682,66 
20-may-21; $ 3.721,57 
21-may-21; $ 3.738,19 
24-may-21; $ 3.750,66 
25-may-21; $ 3.735,41 
26-may-21; $ 3.747,48 
27-may-21; $ 3.729,02 
28-may-21; $ 3.715,28 
31-may-21; $ 3.715,28 
1-jun-21; $ 3.671,38 
2-jun-21; $ 3.642,29 
3-jun-21; $ 3.657,41 
4-jun-21; $ 3.609,20 
7-jun-21; $ 3.609,20 
8-jun-21; $ 3.597,18 
9-jun-21; $ 3.588,41 
10-jun-21; $ 3.589,86 
11-jun-21; $ 3.626,02 
14-jun-21; $ 3.626,02 
15-jun-21; $ 3.693,35 
16-jun-21; $ 3.690,56 
17-jun-21; $ 3.730,45 
18-jun-21; $ 3.753,77 
21-jun-21; $ 3.758,08 
22-jun-21; $ 3.784,45 
23-jun-21; $ 3.773,11 
24-jun-21; $ 3.770,35 
25-jun-21; $ 3.739,03 
28-jun-21; $ 3.713,17 
29-jun-21; $ 3.756,67 
30-jun-21; $ 3.748,50 
1-jul-21; $ 3.775,53 
2-jul-21; $ 3.777,17 
5-jul-21; $ 3.777,17 
6-jul-21; $ 3.782,27 
7-jul-21; $ 3.815,22 
8-jul-21; $ 3.850,46 
9-jul-21; $ 3.829,46 
12-jul-21; $ 3.824,08 
13-jul-21; $ 3.826,85 
14-jul-21; $ 3.796,07 
15-jul-21; $ 3.809,07 
16-jul-21; $ 3.808,46 
19-jul-21; $ 3.842,97 
20-jul-21; $ 3.842,97 
21-jul-21; $ 3.855,68 
22-jul-21; $ 3.866,86 
23-jul-21; $ 3.874,44 
26-jul-21; $ 3.904,17 
27-jul-21; $ 3.918,49 
28-jul-21; $ 3.902,18 
29-jul-21; $ 3.836,95 
30-jul-21; $ 3.867,88 
2-ago-21; $ 3.865,46 
3-ago-21; $ 3.913,59 
4-ago-21; $ 3.911,36 
5-ago-21; $ 3.910,81 
6-ago-21; $ 3.949,33 
9-ago-21; $ 3.988,27 
10-ago-21; $ 3.979,80 
11-ago-21; $ 3.979,80 
12-ago-21; $ 3.887,07 
13-ago-21; $ 3.830,25 
16-ago-21; $ 3.830,25 
17-ago-21; $ 3.868,41 
18-ago-21; $ 3.861,33 
19-ago-21; $ 3.876,08 
20-ago-21; $ 3.874,95 
23-ago-21; $ 3.867,73 
24-ago-21; $ 3.861,88 
25-ago-21; $ 3.865,04 
26-ago-21; $ 3.870,57 
27-ago-21; $ 3.834,13 
30-ago-21; $ 3.806,87 
31-ago-21; $ 3.774,00 
1-sep-21; $ 3.753,30 
2-sep-21; $ 3.780,85 
3-sep-21; $ 3.790,04 
6-sep-21; $ 3.790,04 
7-sep-21; $ 3.812,76 
8-sep-21; $ 3.816,14 
9-sep-21; $ 3.829,72 
10-sep-21; $ 3.836,85 
13-sep-21; $ 3.835,27 
14-sep-21; $ 3.830,83 
15-sep-21; $ 3.825,36 
16-sep-21; $ 3.818,16 
17-sep-21; $ 3.828,18 
20-sep-21; $ 3.851,22 
21-sep-21; $ 3.843,77 
22-sep-21; $ 3.834,66 
23-sep-21; $ 3.835,67 
24-sep-21; $ 3.844,88 
27-sep-21; $ 3.837,91 
28-sep-21; $ 3.841,94 
29-sep-21; $ 3.834,68 
30-sep-21; $ 3.812,77 
1-oct-21; $ 3.781,35 
4-oct-21; $ 3.786,05 
5-oct-21; $ 3.796,30 
6-oct-21; $ 3.788,03 
7-oct-21; $ 3.772,44 
8-oct-21; $ 3.765,80 
11-oct-21; $ 3.765,80 
12-oct-21; $ 3.738,48 
13-oct-21; $ 3.725,75 
14-oct-21; $ 3.755,29 
15-oct-21; $ 3.772,49 
19-oct-21; $ 3.766,94 
20-oct-21; $ 3.770,58 
21-oct-21; $ 3.783,30 
22-oct-21; $ 3.780,38 
25-oct-21; $ 3.769,98 
26-oct-21; $ 3.774,46 
27-oct-21; $ 3.761,21 
28-oct-21; $ 3.766,10 
29-oct-21; $ 3.784,44 
2-nov-21; $ 3.778,69 
3-nov-21; $ 3.837,84 
4-nov-21; $ 3.847,40 
5-nov-21; $ 3.881,76 
6-nov-21; $ 3.881,76 
8-nov-21; $ 3.874,41 
9-nov-21; $ 3.876,86 
10-nov-21; $ 3.875,38 
11-nov-21; $ 3.875,38 
12-nov-21; $ 3.888,53 
15-nov-21; $ 3.898,84 
16-nov-21; $ 3.898,84 
17-nov-21; $ 3.907,95 
18-nov-21; $ 3.943,43 
19-nov-21; $ 3.923,53 
22-nov-21; $ 3.913,26 
23-nov-21; $ 3.944,37 
24-nov-21; $ 3.969,49 
25-nov-21; $ 3.969,49 
26-nov-21; $ 4.008,13 
29-nov-21; $ 4.010,98 
30-nov-21; $ 4.004,54 
1-dic-21; $ 3.953,26 
2-dic-21; $ 3.945,18 
3-dic-21; $ 3.948,33 
6-dic-21; $ 3.944,00 
7-dic-21; $ 3.906,10 
8-dic-21; $ 3.906,10 
9-dic-21; $ 3.899,87 
10-dic-21; $ 3.887,71 
13-dic-21; $ 3.886,87 
14-dic-21; $ 3.936,41 
15-dic-21; $ 3.990,27 
16-dic-21; $ 4.002,97 
16-dic-21;
17-dic-21; $ 3.999,85 
20-dic-21; $ 4.002,12 
21-dic-21; $ 3.996,28 
22-dic-21; $ 3.997,71 
23-dic-21; $ 3.997,09 
24-dic-21; $ 3.994,15 
27-dic-21; $ 3.989,41 
28-dic-21; $ 4.004,00 
29-dic-21; $ 4.023,68 
30-dic-21; $ 3.981,16 
31-dic-21; $ 3.981,16 
3-ene-22; $ 4.082,75 
4-ene-22; $ 4.084,11 
5-ene-22; $ 4.042,36 
6-ene-22; $ 4.039,31 
7-ene-22; $ 4.043,46 
11-ene-22; $ 4.011,65 
12-ene-22; $ 3.970,08 
13-ene-22; $ 3.950,40 
14-ene-22; $ 3.993,65 
17-ene-22; $ 3.993,65 
18-ene-22; $ 4.033,37 
19-ene-22; $ 4.003,95 
20-ene-22; $ 3.980,80 
21-ene-22; $ 3.980,80 
24-ene-22; $ 3.977,51 
25-ene-22; $ 3.987,32 
26-ene-22; $ 3.947,83 
27-ene-22; $ 3.944,04 
28-ene-22; $ 3.982,60 
31-ene-22; $ 3.942,73 
1-feb-22; $ 3.923,61 
2-feb-22; $ 3.928,05 
3-feb-22; $ 3.951,96 
4-feb-22; $ 3.962,68 
7-feb-22; $ 3.963,84 
8-feb-22; $ 3.963,84 
9-feb-22; $ 3.939,31 
10-feb-22; $ 3.917,75 
11-feb-22; $ 3.917,52 
14-feb-22; $ 3.938,97 
15-feb-22; $ 3.946,88 
16-feb-22; $ 3.963,72 
17-feb-22; $ 3.953,26 
18-feb-22; $ 3.927,25 
21-feb-22; $ 3.927,25 
22-feb-22; $ 3.932,40 
23-feb-22; $ 3.913,79 
24-feb-22; $ 3.940,20 
25-feb-22; $ 3.910,64 
28-feb-22; $ 3.910,28 
1-mar-22; $ 3.901,62 
2-mar-22; $ 3.862,95 
3-mar-22; $ 3.771,77 
4-mar-22; $ 3.806,11 
7-mar-22; $ 3.813,41 
8-mar-22; $ 3.787,18 
9-mar-22; $ 3.746,43 
10-mar-22; $ 3.786,00 
11-mar-22; $ 3.827,64 
14-mar-22; $ 3.800,85 
15-mar-22; $ 3.836,56 
16-mar-22; $ 3.826,89 
17-mar-22; $ 3.816,43 
18-mar-22; $ 3.820,67 
21-mar-22; $ 3.820,67 
22-mar-22; $ 3.765,67 
23-mar-22; $ 3.756,64 
24-mar-22; $ 3.798,90 
25-mar-22; $ 3.785,66 
28-mar-22; $ 3.785,70 
29-mar-22; $ 3.765,96 
30-mar-22; $ 3.748,15 
31-mar-22; $ 3.756,03 
1-abr-22; $ 3.774,79 
1-abr-22; ## 
4-abr-22; $ 3.706,95 
5-abr-22; $ 3.723,79 
6-abr-22; $ 3.746,51 
7-abr-22; $ 3.771,83 
8-abr-22; $ 3.777,41 
11-abr-22; $ 3.744,16 
12-abr-22; $ 3.736,70 
13-abr-22; $ 3.737,32 
14-abr-22; $ 3.737,32 
15-abr-22; $ 3.737,32 
18-abr-22; $ 3.731,31 
19-abr-22; $ 3.755,85 
20-abr-22; $ 3.758,65 
21-abr-22; $ 3.759,54 
22-abr-22; $ 3.819,07 
25-abr-22; $ 3.931,74 
26-abr-22; $ 3.947,63 
27-abr-22; $ 3.967,32 
