FECHA	TRM
3/05/2021	3.816,65 
4/05/2021	3.831,35 
5/05/2021	3.846,28 
6/05/2021	3.800,33 
7/05/2021	3.765,33 
10/05/2021	3.714,94 
11/05/2021	3.703,20 
12/05/2021	3.734,09 
13/05/2021	3.728,09 
14/05/2021	3.682,84 
17/05/2021	3.682,84 
18/05/2021	3.655,74 
19/05/2021	3.682,66 
20/05/2021	3.721,57 
21/05/2021	3.738,19 
24/05/2021	3.750,66 
25/05/2021	3.735,41 
26/05/2021	3.747,48 
27/05/2021	3.729,02 
28/05/2021	3.715,28 
31/05/2021	3.715,28 
1/06/2021	3.671,38 
2/06/2021	3.642,29 
3/06/2021	3.657,41 
4/06/2021	3.609,20 
7/06/2021	3.609,20 
8/06/2021	3.597,18 
9/06/2021	3.588,41 
10/06/2021	3.589,86 
11/06/2021	3.626,02 
14/06/2021	3.626,02 
15/06/2021	3.693,35 
16/06/2021	3.690,56 
17/06/2021	3.730,45 
18/06/2021	3.753,77 
21/06/2021	3.758,08 
22/06/2021	3.784,45 
23/06/2021	3.773,11 
24/06/2021	3.770,35 
25/06/2021	3.739,03 
28/06/2021	3.713,17 
29/06/2021	3.756,67 
30/06/2021	3.748,50 
1/07/2021	3.775,53 
2/07/2021	3.777,17 
5/07/2021	3.777,17 
6/07/2021	3.782,27 
7/07/2021	3.815,22 
8/07/2021	3.850,46 
9/07/2021	3.829,46 
12/07/2021	3.824,08 
13/07/2021	3.826,85 
14/07/2021	3.796,07 
15/07/2021	3.809,07 
16/07/2021	3.808,46 
19/07/2021	3.842,97 
20/07/2021	3.842,97 
21/07/2021	3.855,68 
22/07/2021	3.866,86 
23/07/2021	3.874,44 
26/07/2021	3.904,17 
27/07/2021	3.918,49 
28/07/2021	3.902,18 
29/07/2021	3.836,95 
30/07/2021	3.867,88 
2/08/2021	3.865,46 
3/08/2021	3.913,59 
4/08/2021	3.911,36 
5/08/2021	3.910,81 
6/08/2021	3.949,33 
9/08/2021	3.988,27 
10/08/2021	3.979,80 
11/08/2021	3.979,80 
12/08/2021	3.887,07 
13/08/2021	3.830,25 
16/08/2021	3.830,25 
17/08/2021	3.868,41 
18/08/2021	3.861,33 
19/08/2021	3.876,08 
20/08/2021	3.874,95 
23/08/2021	3.867,73 
24/08/2021	3.861,88 
25/08/2021	3.865,04 
26/08/2021	3.870,57 
27/08/2021	3.834,13 
30/08/2021	3.806,87 
31/08/2021	3.774,00 
1/09/2021	3.753,30 
2/09/2021	3.780,85 
3/09/2021	3.790,04 
6/09/2021	3.790,04 
